10 13
1 彭德怀元帅雕像 彭德怀元帅塑像位于太原市尖草坪区中北大学德怀楼前广场。2001年学校60周年校庆时，由河北校友会捐赠，在德怀楼广场前安置了高约2米的彭德怀青石雕像。2010年10月24日，在彭德怀元帅诞辰112周年之际，彭德怀元帅塑像在中北大学揭幕。彭德怀元帅塑像总体设计高度为7．6米，象征着彭德怀元帅度过的不平凡的76个春秋；塑像为青铜与锡合金铸造，整体色彩呈暗红色，色调古朴、庄重，形体感突出；塑像基座采用红色花岗岩，象征彭德怀元帅戎马一生的铮铮铁骨，同时寓意中国的红色革命。
2 柏林园 位于龙山公园脚下，二院住宿楼南侧，柏林园有大树隐蔽，鸟语花香，运气好的话还能看见小松鼠。在柏林园内有为小鸟们安置的鸟笼，有喷泉、鱼儿、山泉、长廊和中北大学石刻的校歌曲谱。
3 二龙山 位于学校最学校最西边，二院楼下，山脚有鹅卵石铺砌的林荫小道，山间都休息观光的怡人台和瀑布，在山顶还有著名的凉亭和长廊。站在山顶，整个大中北美景尽收眼底。
4 科艺苑 科艺苑在西区，许多大型颁奖，重要嘉宾出席会议等都是在科艺苑。二道门进去一直往北走，邮局的上边。也就是二龙山下山，路过一排红色的单元楼，左前方就是科苑了。
5 校医院 中北医院位于学校最北方，在游泳馆西边，我校医院看病特别便宜，都是打一二折，请一定要知道医院在哪里哦，虽然学长希望你们永远不要去哪个地方。
6 游泳馆 位于学校最北方，位于与图书馆正后方，还有游泳培训班，游泳课是中大学学子的必修课，在大二时候的体育必修，我校游泳馆分为四个小池子，一个深水区，两个中等水位区，一个浅水区，适合游泳和学习游泳。
7 瑾瑜国际会议中心 瑾瑜国际会议中心是由知名校友捐赠的，用来举行重大讲座和重要会议的地方，是中北大学最宏伟的建筑之一。
8 教学主楼 教学主楼是十一号楼，是连接东西区的重要建筑也是学校主要的教学楼及办公区之一，主楼上方的四个“中北大学”的字是中北大学最有象征性的标志之一
9 图书馆 图书馆坐落在校园中央，馆舍始建于2002年，完工于2006年，学校图书馆馆舍总面积46707.48平方米，馆藏图书200多万册。各学院资料室1700平方米。现有阅览室35个，设有阅览座位6114个。中北大学图书馆现有中外文图书和电子图书200多万册，图书馆俯瞰中外文期刊24627种。馆藏文献包括数、理、化、外语等基础学科和工程技术、机械工程、材料科学、兵器工程、自动控制工程、电子技术、计算机科学、化学工程、测试技术及仪表、交通、环境科学等应用技术学科，同时收藏了人文社科、管理科学、体育等文献资料。
10 主体育场 在傍晚和晚上，主体育场的跑道上都是跑步的人群，生命在于运动嘛。在主体育场西侧的地下室是我校的健身房。
0 1 480
0 3 750
0 7 1100
1 2 200
2 3 150
3 4 430
3 8 350
4 5 130
4 8 320
5 6 280
6 7 400
7 8 100
8 9 20
